Actual_Result,Predicted_Label,Win_Probability,Is_Correct,Deck_A_Predicting,Deck_B_Opponent,Confidence
1.0,0,0.0,False,"[0, 5, 10, 56, 62, 87, 98, 113]","[3, 5, 27, 33, 49, 70, 99, 100]",1.0
1.0,1,1.0,True,"[5, 16, 46, 55, 58, 69, 99, 106]","[2, 11, 21, 30, 45, 101, 109, 110]",1.0
1.0,1,1.0,True,"[11, 14, 18, 21, 26, 99, 103, 109]","[3, 12, 27, 33, 42, 49, 99, 106]",1.0
0.0,0,0.0,True,"[4, 11, 17, 21, 42, 45, 88, 99]","[12, 21, 33, 42, 45, 55, 110, 120]",1.0
0.0,0,0.0,True,"[12, 45, 48, 66, 68, 100, 105, 118]","[2, 11, 21, 30, 45, 105, 109, 110]",1.0
0.0,0,0.0,True,"[9, 12, 32, 37, 48, 68, 106, 118]","[15, 25, 27, 75, 81, 85, 105, 110]",1.0
1.0,0,0.0,False,"[15, 25, 27, 75, 81, 85, 105, 110]","[10, 18, 50, 51, 55, 61, 98, 106]",1.0
0.0,0,0.0,True,"[10, 11, 29, 39, 94, 98, 106, 119]","[0, 1, 10, 74, 91, 93, 101, 109]",1.0
1.0,1,1.0,True,"[5, 10, 18, 21, 26, 38, 103, 106]","[3, 18, 27, 33, 45, 50, 81, 120]",1.0
1.0,1,1.0,True,"[0, 1, 10, 74, 91, 93, 101, 109]","[10, 11, 29, 39, 94, 98, 106, 119]",1.0
1.0,1,1.0,True,"[15, 25, 27, 75, 81, 85, 105, 110]","[9, 12, 32, 37, 48, 68, 106, 118]",1.0
1.0,0,0.0,False,"[11, 15, 23, 94, 107, 108, 110, 113]","[6, 32, 37, 38, 39, 96, 98, 106]",1.0
1.0,0,0.0,False,"[2, 20, 49, 86, 95, 107, 108, 113]","[3, 17, 18, 33, 99, 106, 110, 114]",1.0
1.0,1,1.0,True,"[2, 11, 21, 30, 45, 105, 109, 110]","[12, 45, 48, 66, 68, 100, 105, 118]",1.0
0.0,0,0.0,True,"[17, 20, 27, 36, 50, 73, 113, 120]","[5, 13, 21, 38, 43, 91, 103, 106]",1.0
0.0,0,0.0,True,"[20, 27, 50, 52, 59, 62, 99, 100]","[18, 27, 33, 42, 60, 100, 106, 114]",1.0
1.0,1,1.0,True,"[18, 27, 33, 42, 60, 100, 106, 114]","[20, 27, 50, 52, 59, 62, 99, 100]",1.0
1.0,1,1.0,True,"[5, 13, 21, 38, 43, 91, 103, 106]","[17, 20, 27, 36, 50, 73, 113, 120]",1.0
0.0,0,0.0,True,"[6, 11, 15, 29, 39, 94, 98, 106]","[0, 1, 10, 74, 91, 93, 101, 109]",1.0
0.0,0,0.0,True,"[2, 11, 21, 30, 45, 101, 109, 110]","[5, 16, 46, 55, 58, 69, 99, 106]",1.0
0.0,0,0.0,True,"[3, 12, 27, 33, 42, 49, 99, 106]","[11, 14, 18, 21, 26, 99, 103, 109]",1.0
1.0,0,0.0,False,"[10, 11, 30, 31, 58, 62, 85, 102]","[2, 24, 61, 71, 74, 76, 98, 100]",1.0
0.0,1,1.0,False,"[3, 17, 18, 33, 99, 106, 110, 114]","[27, 33, 42, 43, 60, 100, 106, 114]",1.0
1.0,1,1.0,True,"[12, 21, 33, 42, 45, 55, 110, 120]","[4, 11, 17, 21, 42, 45, 88, 99]",1.0
0.0,0,0.0,True,"[8, 36, 46, 50, 69, 92, 99, 114]","[0, 27, 41, 53, 62, 98, 102, 109]",1.0
0.0,0,0.0,True,"[2, 11, 21, 30, 64, 91, 107, 109]","[5, 12, 14, 26, 33, 60, 98, 106]",1.0
1.0,0,0.0,False,"[10, 21, 30, 64, 65, 85, 109, 112]","[0, 13, 24, 25, 76, 98, 100, 119]",1.0
0.0,0,0.0,True,"[0, 23, 25, 81, 85, 107, 108, 113]","[3, 18, 27, 33, 39, 73, 106, 120]",1.0
0.0,0,0.0,True,"[2, 40, 50, 53, 56, 80, 101, 109]","[3, 5, 6, 12, 13, 49, 99, 103]",1.0
1.0,0,0.0,False,"[10, 21, 38, 64, 74, 85, 109, 112]","[3, 5, 6, 12, 13, 49, 99, 103]",1.0
0.0,0,0.0,True,"[4, 27, 36, 42, 50, 62, 98, 106]","[40, 41, 47, 56, 58, 65, 89, 99]",1.0
0.0,0,0.0,True,"[3, 18, 27, 33, 45, 50, 81, 120]","[5, 10, 18, 21, 26, 38, 103, 106]",1.0
1.0,0,0.0,False,"[27, 33, 42, 43, 60, 100, 106, 114]","[3, 17, 18, 33, 99, 106, 110, 114]",1.0
0.0,1,1.0,False,"[3, 5, 27, 33, 49, 70, 99, 100]","[0, 5, 10, 56, 62, 87, 98, 113]",1.0
1.0,1,1.0,True,"[40, 41, 47, 56, 58, 65, 89, 99]","[4, 27, 36, 42, 50, 62, 98, 106]",1.0
1.0,0,1e-04,False,"[8, 29, 32, 57, 76, 94, 106, 118]","[10, 50, 59, 62, 74, 86, 98, 113]",0.9998
1.0,0,1e-04,False,"[2, 6, 35, 39, 95, 103, 113, 115]","[6, 32, 37, 38, 39, 96, 98, 106]",0.9998
0.0,0,1e-04,True,"[12, 17, 48, 66, 68, 99, 100, 117]","[6, 8, 15, 25, 29, 39, 98, 106]",0.9998
0.0,0,1e-04,True,"[10, 11, 17, 30, 31, 74, 92, 93]","[1, 3, 5, 8, 34, 99, 108, 115]",0.9998
0.0,0,1e-04,True,"[0, 10, 13, 74, 91, 93, 101, 109]","[5, 16, 46, 55, 58, 69, 99, 106]",0.9998
0.0,0,1e-04,True,"[9, 12, 37, 48, 66, 68, 99, 100]","[18, 21, 31, 38, 49, 95, 101, 109]",0.9998
1.0,0,1e-04,False,"[0, 10, 31, 62, 85, 97, 107, 115]","[24, 50, 61, 74, 76, 98, 100, 113]",0.9998
1.0,0,1e-04,False,"[10, 63, 66, 67, 92, 104, 110, 114]","[2, 20, 49, 86, 95, 107, 108, 113]",0.9998
0.0,0,1e-04,True,"[8, 11, 21, 22, 23, 26, 32, 103]","[5, 16, 46, 55, 58, 69, 99, 106]",0.9998
0.0,0,1e-04,True,"[8, 36, 46, 50, 69, 92, 99, 114]","[2, 6, 35, 42, 45, 55, 103, 110]",0.9998
1.0,0,1e-04,False,"[3, 13, 16, 27, 39, 100, 105, 106]","[8, 29, 32, 39, 57, 94, 106, 118]",0.9998
0.0,0,1e-04,True,"[3, 16, 27, 32, 63, 76, 98, 106]","[0, 10, 14, 30, 85, 107, 108, 113]",0.9998
1.0,0,1e-04,False,"[9, 13, 35, 39, 43, 48, 99, 106]","[10, 26, 30, 65, 91, 101, 102, 109]",0.9998
1.0,0,1e-04,False,"[8, 9, 27, 39, 48, 63, 99, 105]","[8, 15, 25, 29, 37, 39, 98, 106]",0.9998
0.0,0,1e-04,True,"[17, 20, 27, 35, 36, 52, 98, 113]","[0, 10, 21, 45, 85, 105, 110, 116]",0.9998
0.0,1,0.9999,False,"[2, 24, 61, 71, 74, 76, 98, 100]","[10, 11, 30, 31, 58, 62, 85, 102]",0.99979997
0.0,1,0.9999,False,"[0, 13, 24, 25, 76, 98, 100, 119]","[10, 21, 30, 64, 65, 85, 109, 112]",0.99979997
0.0,1,0.9999,False,"[10, 50, 59, 62, 74, 86, 98, 113]","[8, 29, 32, 57, 76, 94, 106, 118]",0.99979997
0.0,1,0.9999,False,"[8, 29, 32, 39, 57, 94, 106, 118]","[3, 13, 16, 27, 39, 100, 105, 106]",0.99979997
0.0,1,0.9999,False,"[10, 26, 30, 65, 91, 101, 102, 109]","[9, 13, 35, 39, 43, 48, 99, 106]",0.99979997
0.0,1,0.9999,False,"[6, 32, 37, 38, 39, 96, 98, 106]","[11, 15, 23, 94, 107, 108, 110, 113]",0.99979997
1.0,1,0.9999,True,"[5, 12, 14, 26, 33, 60, 98, 106]","[2, 11, 21, 30, 64, 91, 107, 109]",0.99979997
0.0,1,0.9999,False,"[3, 5, 6, 12, 13, 49, 99, 103]","[10, 21, 38, 64, 74, 85, 109, 112]",0.99979997
1.0,1,0.9999,True,"[0, 10, 21, 45, 85, 105, 110, 116]","[17, 20, 27, 35, 36, 52, 98, 113]",0.99979997
0.0,1,0.9999,False,"[10, 18, 50, 51, 55, 61, 98, 106]","[15, 25, 27, 75, 81, 85, 105, 110]",0.99979997
1.0,1,0.9999,True,"[5, 16, 46, 55, 58, 69, 99, 106]","[8, 11, 21, 22, 23, 26, 32, 103]",0.99979997
1.0,1,0.9999,True,"[0, 1, 10, 74, 91, 93, 101, 109]","[6, 11, 15, 29, 39, 94, 98, 106]",0.99979997
1.0,1,0.9999,True,"[3, 5, 6, 12, 13, 49, 99, 103]","[2, 40, 50, 53, 56, 80, 101, 109]",0.99979997
1.0,1,0.9999,True,"[0, 10, 14, 30, 85, 107, 108, 113]","[3, 16, 27, 32, 63, 76, 98, 106]",0.99979997
1.0,1,0.9999,True,"[3, 18, 27, 33, 39, 73, 106, 120]","[0, 23, 25, 81, 85, 107, 108, 113]",0.99979997
1.0,1,0.9999,True,"[0, 27, 41, 53, 62, 98, 102, 109]","[8, 36, 46, 50, 69, 92, 99, 114]",0.99979997
0.0,1,0.9999,False,"[3, 17, 18, 33, 99, 106, 110, 114]","[2, 20, 49, 86, 95, 107, 108, 113]",0.99979997
1.0,1,0.9998,True,"[0, 6, 15, 34, 37, 103, 110, 113]","[12, 17, 48, 66, 68, 99, 100, 117]",0.99960005
1.0,1,0.9998,True,"[18, 21, 31, 38, 49, 95, 101, 109]","[9, 12, 37, 48, 66, 68, 99, 100]",0.99960005
1.0,1,0.9998,True,"[6, 8, 15, 25, 29, 39, 98, 106]","[12, 17, 48, 66, 68, 99, 100, 117]",0.99960005
1.0,1,0.9998,True,"[2, 6, 35, 42, 45, 55, 103, 110]","[8, 36, 46, 50, 69, 92, 99, 114]",0.99960005
0.0,1,0.9998,False,"[0, 6, 15, 34, 37, 103, 110, 113]","[12, 17, 48, 66, 68, 99, 100, 117]",0.99960005
0.0,1,0.9998,False,"[0, 6, 15, 34, 37, 103, 110, 113]","[12, 17, 48, 66, 68, 99, 100, 117]",0.99960005
0.0,0,0.0002,True,"[0, 10, 31, 78, 85, 97, 107, 109]","[10, 32, 62, 78, 82, 85, 109, 110]",0.9996
0.0,0,0.0002,True,"[6, 25, 35, 42, 55, 64, 69, 99]","[10, 32, 44, 49, 61, 98, 106, 113]",0.9996
0.0,0,0.0002,True,"[12, 17, 48, 66, 68, 99, 100, 117]","[0, 6, 15, 34, 37, 103, 110, 113]",0.9996
1.0,0,0.0002,False,"[0, 10, 31, 62, 85, 97, 107, 115]","[8, 29, 32, 57, 76, 94, 106, 118]",0.9996
0.0,0,0.0002,True,"[0, 13, 34, 62, 88, 97, 110, 116]","[3, 5, 7, 18, 34, 99, 108, 115]",0.9996
1.0,0,0.0002,False,"[12, 17, 48, 66, 68, 99, 100, 117]","[0, 6, 15, 34, 37, 103, 110, 113]",0.9996
0.0,0,0.0002,True,"[3, 13, 16, 27, 39, 98, 100, 106]","[31, 37, 70, 75, 96, 105, 110, 113]",0.9996
0.0,0,0.0002,True,"[10, 30, 32, 49, 65, 91, 107, 109]","[0, 10, 23, 91, 93, 101, 113, 115]",0.9996
1.0,0,0.0002,False,"[12, 17, 48, 66, 68, 99, 100, 117]","[0, 6, 15, 34, 37, 103, 110, 113]",0.9996
0.0,0,0.0002,True,"[34, 37, 45, 52, 70, 103, 108, 110]","[18, 21, 31, 38, 49, 95, 101, 109]",0.9996
0.0,0,0.0002,True,"[3, 7, 27, 37, 61, 98, 99, 108]","[2, 5, 53, 54, 56, 87, 98, 113]",0.9996
0.0,0,0.0002,True,"[4, 36, 42, 46, 50, 62, 98, 106]","[2, 11, 30, 40, 58, 85, 101, 102]",0.9996
0.0,0,0.0002,True,"[9, 13, 35, 43, 48, 76, 99, 106]","[26, 27, 52, 54, 70, 98, 102, 115]",0.9996
