my_0,my_1,my_2,my_3,my_4,my_5,my_6,my_7,op_0,op_1,op_2,op_3,op_4,op_5,op_6,op_7,result,my_crowns,op_crowns,my_lev_avg,op_lev_avg,battle_time
26000009,26000011,26000015,26000018,26000027,26000039,28000012,28000026,26000010,26000030,26000059,26000072,27000000,28000011,28000014,28000018,1,1,0,25.125,26.25,20260325T214636.000Z
26000010,26000020,26000021,26000030,26000062,27000000,28000000,28000011,26000000,26000010,26000031,26000062,27000000,27000013,28000009,28000017,1,1,0,26.875,27.5,20260329T062615.000Z
26000000,26000010,26000062,26000095,27000004,27000013,28000011,28000012,26000009,26000027,26000035,26000039,27000010,28000000,28000008,28000025,-1,0,3,25.25,25.0,20260328T124345.000Z
26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,26000012,26000017,26000048,26000067,26000069,28000001,28000002,28000023,-1,1,2,25.625,24.375,20260329T142415.000Z
26000020,26000027,26000050,26000052,26000059,26000062,28000001,28000002,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000011,-1,0,1,24.625,25.125,20260329T154939.000Z
26000000,26000010,26000031,26000095,27000000,27000013,28000009,28000017,26000017,26000020,26000036,26000042,26000046,26000050,28000000,28000015,1,1,0,27.5,24.0,20260329T022103.000Z
26000017,26000020,26000027,26000035,26000036,26000052,28000000,28000015,26000050,26000051,26000055,26000062,28000000,28000008,28000015,28000025,1,1,0,25.125,23.125,20260329T075532.000Z
26000000,26000010,26000031,26000095,27000000,27000013,28000009,28000017,26000010,26000011,26000030,26000031,26000058,26000062,27000000,28000004,1,1,0,27.5,26.5,20260324T065648.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000000,26000009,26000015,26000039,26000048,28000007,28000012,28000015,1,1,0,25.5,24.625,20260329T154248.000Z
26000010,26000014,26000021,26000030,26000038,27000000,28000000,28000011,26000005,26000008,26000029,26000032,27000009,28000008,28000024,28000025,1,1,0,27.0,25.125,20260328T172636.000Z
26000000,26000012,26000026,26000030,26000040,27000003,28000004,28000011,26000003,26000013,26000016,26000027,26000039,28000002,28000007,28000008,-1,0,3,25.25,26.0,20260223T194643.000Z
26000000,26000010,26000032,26000049,26000062,27000000,28000000,28000011,26000002,26000040,26000050,26000053,26000056,26000097,28000003,28000011,1,1,0,25.75,26.25,20260329T170116.000Z
26000050,26000059,26000062,26000084,26000102,27000001,28000000,28000015,26000009,26000013,26000035,26000039,26000043,26000048,28000001,28000008,1,1,0,25.625,26.125,20260329T132342.000Z
26000009,26000035,26000045,26000054,26000063,26000068,28000006,28000012,26000002,26000011,26000021,26000030,26000045,28000003,28000011,28000012,1,1,0,24.0,26.0,20260329T134502.000Z
26000004,26000036,26000042,26000046,26000050,26000062,28000000,28000008,26000050,26000051,26000055,26000062,28000000,28000008,28000015,28000025,1,1,0,23.875,23.125,20260329T154246.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000010,26000050,26000059,26000062,26000084,27000001,28000000,28000015,1,1,0,25.5,25.625,20260329T155206.000Z
26000009,26000013,26000018,26000035,26000039,26000048,28000001,28000008,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,1,1,0,25.875,25.5,20260329T154147.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000003,26000005,26000007,26000018,26000034,28000001,28000010,28000017,1,1,0,25.5,26.25,20260329T083253.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000001,26000003,26000005,26000008,26000034,28000001,28000010,28000017,-1,0,1,25.5,27.125,20260329T160915.000Z
26000002,26000006,26000017,26000020,26000032,26000049,26000061,28000017,26000000,26000010,26000032,26000049,26000062,27000000,28000000,28000011,1,1,0,25.5,25.75,20260328T075457.000Z
26000006,26000008,26000029,26000032,26000037,26000080,28000001,28000008,26000002,26000040,26000050,26000053,26000056,26000097,28000000,28000011,-1,1,2,25.375,26.25,20260328T145132.000Z
26000003,26000016,26000027,26000032,26000063,26000087,28000000,28000008,26000000,26000010,26000021,26000045,26000049,27000000,28000007,28000011,-1,1,2,24.625,26.5,20260329T131858.000Z
26000009,26000013,26000018,26000035,26000039,26000048,28000001,28000008,26000009,26000027,26000039,26000050,26000052,26000054,28000001,28000008,-1,1,3,25.875,25.625,20260329T163122.000Z
26000006,26000011,26000015,26000029,26000039,27000009,28000000,28000008,26000000,26000028,26000043,26000050,26000061,27000007,28000002,28000016,1,2,0,25.75,25.625,20260327T133824.000Z
26000002,26000040,26000050,26000053,26000056,26000097,28000000,28000011,26000009,26000011,26000015,26000018,26000027,26000039,28000012,28000026,1,2,1,26.25,25.125,20260329T012429.000Z
26000000,26000010,26000014,26000030,27000000,28000009,28000010,28000015,26000000,26000006,26000034,26000037,26000063,28000005,28000012,28000015,1,1,0,26.375,24.25,20260328T233551.000Z
26000000,26000025,26000031,26000062,27000006,27000013,28000009,28000017,26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,-1,0,1,26.125,25.5,20260329T000442.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000000,26000010,26000013,26000031,27000000,27000013,28000009,28000017,1,1,0,25.5,27.75,20260328T233446.000Z
26000010,26000024,26000044,26000050,26000061,26000084,28000000,28000015,26000003,26000005,26000007,26000018,26000034,28000001,28000010,28000017,-1,0,1,25.5,26.25,20260329T115312.000Z
